...1,S_ID,session,Run,block,trial,StimType,OrderCond,Name,NameFreq,RespOrder,NameFoil1,NameFoil2,NameDistractor1,NameDistractor2,DistractorNameFreq1,DistractorNameFreq2,Accuracy,Foil,Distractor,RT,RTonset,rpress,lpress,Confidence,ConfidenceRT,rConf
24,1,1,1,2,8,1,8,JAZMIN,62,2,BONNIE,HAYLEY,MAXINE,KAYLEY,62,127,1,NA,NA,4.01923779999925,1.59885059999942,0,1,1,0.508570300000429,1
25,1,1,1,2,9,1,6,TALIA,86,10,HAYLEY,PRIYA,HALIMA,FFION,85,201,0,1,0,3.74931159999687,2.04066140000214,1,0,2,1.22617940000055,2
26,1,1,1,2,10,1,1,HECTOR,29,13,KAINE,DILLON,MIKEY,QUINN,29,10,1,NA,NA,4.47748970000248,1.18243369999982,3,0,1,0.298954399993818,1
27,1,1,1,2,11,1,3,AINSLEY,43,1,ARONAS,KAINE,LAURIE,VINCENT,43,117,1,NA,NA,5.01584459999867,1.93868379999913,2,2,3,0.9067670000004,3
28,1,1,1,2,12,1,8,PALOMA,38,16,ELLIE,JAZMIN,CALLIE,ADINA,37,20,1,NA,NA,2.36194029999751,0.981548800002201,2,0,3,2.10924610000075,3
29,1,1,1,2,13,1,2,PRIYA,101,7,LAUREN,BONNIE,KIRBY,DARCY,100,107,1,NA,NA,1.79796720000013,0.556576399998448,0,1,3,0.766850799998792,3
30,1,1,1,2,14,1,1,CIARAN,278,11,HAMZA,AINSLEY,FRASER,LORENZO,278,36,0,0,1,4.04657530000259,0.0571716999984346,0,0,1,0.275982799998019,1
31,1,1,1,2,15,1,4,LAUREN,6299,12,TALIA,ELLIE,HANNAH,EBONY,5916,200,1,NA,NA,2.32454110000253,0.90133820000483,3,0,2,1.44485139999597,2
32,1,1,1,2,16,1,3,ARONAS,44,5,DILLON,REUBEN,MALIK,SANDEEP,44,25,1,NA,NA,1.9410313000044,1.09974309999961,0,1,3,1.91937220000545,3
33,1,1,1,3,1,1,7,MARIO,20,15,MARCO,AWAIS,VIVEK,JIMMY,20,80,1,NA,NA,2.97679900000367,0.0365495000005467,0,0,2,0.931369500001892,2
34,1,1,1,3,2,1,6,HUMAIRA,46,10,ELYSIA,JAYDE,JAIME,SYDNEY,46,98,0,1,0,7.6143768999973,3.19745900000271,3,2,1,0.860862400004407,1
35,1,1,1,3,3,1,6,JESSIE,194,6,SUSAN,HUMAIRA,HEIDI,PORTIA,193,28,0,1,0,5.69519259999652,2.89951920000021,1,1,2,2.03338670000085,2
36,1,1,1,3,4,1,4,CATRIN,102,11,JESSIE,LIBERTY,LOREN,ISOBEL,102,522,1,NA,NA,3.34864370000287,0.796938600004069,0,1,3,0.783493899994937,3
37,1,1,1,3,5,1,3,JOHNNY,32,14,TYRONE,MARIO,MILAN,AYRTON,32,37,1,NA,NA,3.4670918999982,0.763566499997978,2,0,2,1.37072540000372,2
38,1,1,1,3,6,1,7,DONALD,23,1,JOHNNY,TYRONE,GERALD,CALLUM,23,4281,0,0,1,7.03061940000043,3.88739039999928,3,1,1,0.431849300002796,1
39,1,1,1,3,7,1,3,MAXIM,36,12,DONALD,MARCO,TARIQ,RALPH,36,47,1,NA,NA,2.96467540000594,0.837860399995407,0,1,2,0.922249000002921,2
40,1,1,1,3,8,1,8,JAYDE,58,2,HUMAIRA,ELYSIA,VICKY,CECILIA,58,27,1,NA,NA,4.23698259999946,0.925940699999046,1,0,1,0.531770800000231,1
41,1,1,1,3,9,1,8,SUSAN,82,8,MARIE,CATRIN,PENNY,KEISHA,81,37,0,1,0,5.76349070000288,2.86596679999639,0,1,1,0.748820799999521,1
42,1,1,1,3,10,1,2,LIBERTY,144,13,CATRIN,MARIE,HAZEL,SHELLEY,141,84,1,NA,NA,3.17472270000144,0.792142099999182,2,0,3,0.78251789999922,3
43,1,1,1,3,11,1,3,TYRONE,117,9,MAXIM,ADRIAN,VINCENT,FREDDY,117,25,1,NA,NA,3.2460371000052,1.62698740000633,3,0,4,1.32011890000285,4
44,1,1,1,3,12,1,2,MARIE,129,3,JAYDE,JESSIE,TAYLA,MABEL,129,17,0,0,1,5.45567740000115,2.66723199999979,0,1,1,0.446435300000303,1
45,1,1,1,3,13,1,1,AWAIS,50,4,ADRIAN,MAXIM,MARLEY,TUDOR,50,15,1,NA,NA,5.80751099999907,4.05610940000042,3,1,1,1.3411941000013,1
46,1,1,1,3,14,1,3,MARCO,76,16,MARIO,DONALD,ISMAIL,FRANCIS,75,172,1,NA,NA,4.20222240000294,1.00795729999663,3,0,3,0.881079700004193,3
47,1,1,1,3,15,1,2,ELYSIA,72,5,LIBERTY,SUSAN,HAFSA,HALIMA,72,85,1,NA,NA,2.60690330000216,0.865001499994833,1,0,3,0.798022399998445,3
48,1,1,1,3,16,1,5,ADRIAN,155,7,AWAIS,JOHNNY,BLAKE,HENRY,154,1135,1,NA,NA,4.08775590000005,1.41576189999614,3,0,2,1.36264010000014,2
49,1,1,1,4,1,1,1,CYRUS,29,16,SAMUEL,AUSTIN,DARNELL,FABIO,29,28,0,1,0,3.97129750000022,0.0375596000012592,0,0,1,0.404014899999311,1
50,1,1,1,4,2,1,5,BOBBY,126,12,BRODIE,IBRAHIM,SPENCER,CHRIS,124,17,1,NA,NA,2.51494419999653,0.780969500003266,3,0,3,0.736150600001565,3
51,1,1,1,4,3,1,4,MILLIE,324,9,MAIYA,BROGAN,SHAUNA,CERYS,316,92,1,NA,NA,2.35130600000412,0.934553200000664,1,0,2,1.08968850000383,2
52,1,1,1,4,4,1,3,TOMMY,247,10,CYRUS,BRODIE,RICKY,KESTER,242,16,1,NA,NA,4.03329820000363,0.569776099997398,2,0,1,0.623483299998043,1
53,1,1,1,4,5,1,8,BROGAN,165,2,RIANNA,MILLIE,"NADINE",LEIGH,165,125,1,NA,NA,5.52452260000427,2.45939720000024,2,0,1,0.357689700002084,1
54,1,1,1,4,6,1,1,SAMUEL,6161,5,IBRAHIM,BOBBY,JORDAN,OMARI,5750,30,NA,NA,NA,NA,NA,1,2,1,0.724382199994579,1
55,1,1,1,4,7,1,7,AUSTIN,65,14,ALISTER,PARKER,ANDREAS,KILLIAN,64,10,0,1,0,4.80594510000083,0.910246300001745,3,0,1,0.662286499995389,1
56,1,1,1,4,8,1,2,VERITY,114,6,MILLIE,SHARNA,CELINE,MIKAELA,113,37,1,NA,NA,2.86275890000252,0.964162500000384,3,0,4,0.80025459999888,4
57,1,1,1,4,9,1,2,ISABEL,455,7,SHARNA,MAIYA,KELSEY,SACHA,438,57,1,NA,NA,4.48733019999781,0.414444399997592,0,1,1,0.713810399996873,1
58,1,1,1,4,10,1,1,PARKER,407,4,AUSTIN,ALISTER,LANCE,ISAAC,35,480,0,0,1,5.44597440000507,1.58705730000656,2,0,1,0.394267100004072,1
59,1,1,1,4,11,1,2,RIANNA,90,13,VERITY,ISABEL,SADIA,ELEANOR,90,2555,1,NA,NA,2.68950420000328,0.037211800001387,0,0,1,0.778631500004849,1
60,1,1,1,4,12,1,7,ALISTER,30,1,TOMMY,CYRUS,DAYLE,BYRON,30,46,0,1,0,4.12194920000184,1.2492510000011,1,0,1,0.716956199998094,1
61,1,1,1,4,13,1,3,IBRAHIM,129,15,BOBBY,SAMUEL,SONNY,BLAKE,127,154,1,NA,NA,2.61156959999789,0.0358824000068125,0,0,3,0.891300199997204,3
62,1,1,1,4,14,1,6,MAIYA,48,11,ISABEL,RIANNA,CANDICE,BARBARA,66,26,0,0,1,3.69224260000192,0.140489999997953,0,1,1,0.767668400003458,1
63,1,1,1,4,15,1,4,SHARNA,111,8,BROGAN,VERITY,CLARA,SIMONE,107,158,1,NA,NA,1.92111260000092,0.0364429000037489,0,0,3,0.926977800001623,3
64,1,1,1,4,16,1,3,BRODIE,46,3,PARKER,TOMMY,BYRON,ZAYNE,46,41,1,NA,NA,4.33855300000141,0.0556818999975803,0,0,1,0.391705800000636,1
65,1,1,1,5,1,1,1,FARHAN,37,16,SANJAY,HOWARD,JARVIS,MICHAEL,37,4187,0,0,1,3.94307750000007,0.431376699998509,1,0,1,0.488426900003105,1
66,1,1,1,5,2,1,5,GERARD,38,12,PAOLO,RILEY,GETHIN,ARTHUR,38,129,1,NA,NA,3.10910720000538,0.824098500001128,2,0,4,0.821108399999503,4
67,1,1,1,5,3,1,3,HOWARD,47,1,PIERCE,JONAS,RALPH,JACQUES,47,53,1,NA,NA,4.87218009999924,0.652653700002702,1,0,1,0.715813100003288,1
68,1,1,1,5,4,1,1,JONAS,21,13,GERARD,FARHAN,RONALD,MILAN,21,32,0,0,1,6.19452550000278,0.0372419999985141,0,0,1,0.344828000001144,1
69,1,1,1,5,5,1,5,SANJAY,29,6,ABRAHAM,PIERCE,DEVANTE,TERENCE,29,58,1,NA,NA,7.15509549999842,0.498054500007129,1,0,1,0.573152299999492,1
70,1,1,1,5,6,1,8,ALICE,2357,10,MISHA,NIKKI,RACHEL,BRIDIE,2105,76,1,NA,NA,3.73022299999866,0.786649099994975,1,0,4,1.03026870000031,4
71,1,1,1,5,7,1,6,SELINA,158,7,NIKKI,AISLING,SIMONE,"NATASHA",158,1751,0,1,0,4.7873075000025,0.037946299999021,0,0,1,0.280864399996062,1
72,1,1,1,5,8,1,4,AMIRA,33,5,ALICE,MANISHA,TIANA,CARMEN,33,60,1,NA,NA,4.09461329999613,0.90195940000558,3,0,3,0.791640099996584,3
73,1,1,1,5,9,1,5,RILEY,32,15,JONAS,ABRAHAM,WASIM,TYRELL,32,55,0,0,1,5.11184980000689,0.957619399996474,1,0,1,0.447594499994011,1
74,1,1,1,5,10,1,4,MANISHA,73,4,AMIRA,SELINA,SAIRA,MAEVE,73,24,1,NA,NA,2.80069219999859,0.929987000003166,1,0,3,0.974881400004961,3
75,1,1,1,5,11,1,6,AISLING,70,9,SELINA,MISHA,DONNA,CELINE,69,113,1,NA,NA,2.71269759999996,0.415805900003761,0,1,2,1.24459239999851,2
76,1,1,1,5,12,1,8,NIKKI,102,8,MANISHA,AMIRA,FLORA,ASHLEA,101,52,1,NA,NA,4.32545260000188,0.807778900001722,3,0,2,0.65305359999911206,2
77,1,1,1,5,13,1,7,PIERCE,61,2,RILEY,GERARD,SOLOMON,AKEEM,60,27,1,NA,NA,5.82682130000467,1.34979619999649,0,1,1,0.319935399995302,1
78,1,1,1,5,14,1,2,MISHA,43,14,AISLING,ALICE,ALINA,SHANA,42,42,1,NA,NA,3.47748000000138,0.799418800001149,0,1,3,0.743501800003287,3
79,1,1,1,5,15,1,7,PAOLO,16,3,FARHAN,SANJAY,TERRELL,MIKEY,16,29,0,0,1,7.79610330000287,3.54889000000549,2,1,1,0.338314300002821,1
80,1,1,1,5,16,1,5,ABRAHAM,40,11,HOWARD,PAOLO,CARLTON,JESSE,40,161,1,NA,NA,2.50552850000531,0.936774599998898,0,1,3,1.20867110000108,3
81,1,1,1,6,1,1,4,LOUISE,1309,9,MADDIE,ELISE,ABBIE,TRACY,1297,34,1,NA,NA,3.86144490000152,0.385613500002364,1,0,4,0.847448100001202,4
82,1,1,1,6,2,1,7,WESLEY,185,8,FAHIM,TRAVIS,JUSTIN,MAXWELL,182,160,1,NA,NA,6.22095010000339,1.59086150000076,3,0,2,0.479008099995553,2
83,1,1,1,6,3,1,3,MITCHEL,54,1,LEYTON,BARNEY,JACQUES,OLIVIER,53,10,1,NA,NA,4.45861399999558,0.0472620000000461,0,0,1,0.528434899999411,1
84,1,1,1,6,4,1,8,ELISE,253,13,KAREN,AILISH,KATRINA,BECKY,251,146,1,NA,NA,2.95740269999806,0.374122900000657,1,0,3,0.607964900002116,3
85,1,1,1,6,5,1,7,LEYTON,16,16,BARNEY,FAHIM,LUCIEN,LUCAS,16,202,0,0,1,4.35898749999615,0.0376089999990654,0,0,1,0.285086100004264,1
86,1,1,1,6,6,1,2,ELENA,213,2,SUMMER,MARGOT,VANESSA,ROISIN,213,134,1,NA,NA,6.10071489999973,1.28336000000127,0,1,2,0.843589300005988,2
87,1,1,1,6,7,1,7,BARNEY,37,4,CHESTER,MITCHEL,CARLOS,ALLAN,37,37,1,NA,NA,3.87038339999708,0.699297099999967,2,0,1,1.29757270000118,1
88,1,1,1,6,8,1,4,MARGOT,293,5,AILISH,ELENA,HENNA,MAISIE,82,335,1,NA,NA,3.09294419999787,0.406006299999717,0,1,1,0.708434699998179,1
89,1,1,1,6,9,1,6,MADDIE,37,14,MARGOT,KAREN,MIKAELA,CAMILLA,37,62,0,0,1,5.87610870000208,1.09892989999935,1,1,1,0.38355550000415,1
90,1,1,1,6,10,1,4,SUMMER,203,15,LETITIA,LOUISE,DEANNA,ANDREA,202,74,1,NA,NA,2.32612049999443,0.81599489999644,0,1,3,0.687612199995783,3
91,1,1,1,6,11,1,6,AILISH,38,6,ELENA,LETITIA,JAYNE,CONNIE,38,144,1,NA,NA,7.20287739999912,3.23618649999844,4,1,2,0.585133700005827,2
92,1,1,1,6,12,1,1,TRAVIS,205,7,WESLEY,LEYTON,LUCAS,ANTONY,202,217,0,1,0,4.33092829999805,1.74810119999893,3,0,1,0.535519099998055,1
93,1,1,1,6,13,1,6,LETITIA,44,11,LOUISE,SUMMER,MAISY,LEANNA,44,40,1,NA,NA,4.31606640000246,0.0383392000003369,0,0,2,0.478263100005279,2
94,1,1,1,6,14,1,5,FAHIM,24,12,TRAVIS,CHESTER,JERRY,RAYMOND,24,78,1,NA,NA,3.0161592000004,0.623548999996274,2,0,3,0.702264400002605,3
95,1,1,1,6,15,1,8,KAREN,76,10,ELISE,MADDIE,KYLIE,SAMINA,76,41,1,NA,NA,4.51948279999488,1.01454959999683,3,0,2,0.48653789999662,2
96,1,1,1,6,16,1,1,CHESTER,24,3,MITCHEL,WESLEY,DERRY,BARRY,24,45,0,1,0,4.23597940000036,2.03719080000155,1,0,2,0.644416900002398,2
97,1,1,1,7,1,1,4,BETHANY,4271,8,AYSHA,REBECCA,GEORGIA,STORM,3723,36,1,NA,NA,3.76083509999444,1.58062400000199,1,0,2,0.645228299996234,2
98,1,1,1,7,2,1,1,HAIDER,51,11,AYDEN,HARRIS,VICTOR,LEWIS,51,3569,0,0,1,4.6935702999981,1.93165980000049,2,1,1,0.350970300001791,1
99,1,1,1,7,3,1,3,HARRIS,42,15,FREDDIE,ALBERT,MICAH,TERRY,42,79,0,0,1,5.09652749999805,1.41678120000142,1,2,1,0.326217699999688,1
100,1,1,1,7,4,1,2,AYSHA,94,3,JOANNA,CHARIS,KEIRA,DOROTHY,94,18,1,NA,NA,3.06216760000098,0.0427228999978979,0,0,3,0.791085199998633,3
101,1,1,1,7,5,1,6,JOANNA,374,14,BETHANY,KRISTY,ALISHA,TIANA,363,33,1,NA,NA,4.92393309999898,1.28570570000011,1,1,2,0.499504400002479,2
102,1,1,1,7,6,1,8,CHARIS,52,12,CARLY,ROSANNA,LARISSA,SIMRAN,51,240,0,1,0,4.04657130000123,1.54768829999375,1,0,1,0.793613000001642,1
103,1,1,1,7,7,1,6,CARLY,235,7,BRONTE,LAILA,SADIE,SAVANNA,235,40,1,NA,NA,3.59795939999458,0.0385821000018041,0,0,2,0.647296600000118,2
104,1,1,1,7,8,1,8,LAILA,35,2,FARZANA,BRONTE,PIPPA,TANYA,35,169,1,NA,NA,5.35617740000453,0.039547100001073,0,0,1,0.278796400001738,1
105,1,1,1,7,9,1,8,BRONTE,59,4,ROSANNA,JOANNA,FEARNE,LIBBY,143,191,1,NA,NA,2.73831950000022,0.0383655999976327,0,0,3,0.634541999999783,3
106,1,1,1,7,10,1,2,REBECCA,5828,13,CHARIS,CARLY,MEGAN,HEIDI,4948,193,1,NA,NA,2.64844770000491,1.11179909999919,0,1,4,0.859968700002355,4
107,1,1,1,7,11,1,5,FREDDIE,89,5,ALBERT,HAIDER,FRANK,GILES,86,47,0,0,1,3.95777570000064,0.302597299996705,0,1,1,0.360307800001465,1
108,1,1,1,7,12,1,7,AYDEN,27,10,HARRIS,FREDDIE,NICKY,GLENN,27,100,0,0,1,4.14988930000254,1.82423570000537,3,1,1,0.450023299999884,1
109,1,1,1,7,13,1,4,KRISTY,39,16,LAILA,AYSHA,LUISA,RACHEL,39,2105,0,0,1,4.30367490000208,0.725714499996684,1,0,1,0.410876800000551,1
110,1,1,1,7,14,1,1,ALBERT,110,1,HAIDER,AYDEN,BAILEY,CHARLES,109,1738,0,1,0,6.9545225000038,2.08903239999927,3,0,1,0.380625800004054,1
111,1,1,1,7,15,1,6,FARZANA,45,9,KRISTY,BETHANY,LIANNE,TAMARA,45,397,1,NA,NA,5.35822080000071,1.08862070000032,1,2,2,0.970348800001375,2
112,1,1,1,7,16,1,8,ROSANNA,99,6,REBECCA,FARZANA,DANNI,ABBIE,98,1297,1,NA,NA,3.70496169999387,0.412892499996815,0,1,3,0.616492199995264,3
113,1,1,1,8,1,1,6,YASMIN,661,9,SABAH,ALANIS,KATHRYN,VANESSA,635,213,1,NA,NA,3.60977789999743,1.01875000000291,2,0,4,0.822452000000339,4
114,1,1,1,8,2,1,7,ARNOLD,18,15,PHILIP,LORCAN,CLAUDE,AHMED,18,206,1,NA,NA,5.2115174999999,1.99504799999704,2,1,1,0.456051000001025,1
115,1,1,1,8,3,1,8,DIONNE,89,6,LEONA,MIRANDA,LILLY,KIRBY,89,100,0,1,0,4.12188799999421,0.0387432999996236,0,0,1,0.331079600000521,1
116,1,1,1,8,4,1,3,ELLIOT,919,2,DANNY,PHILIP,BILLY,AARON,914,2511,1,NA,NA,3.70795060000091,0.332140400001663,0,1,2,1.274742900001,2
117,1,1,1,8,5,1,5,ARJUN,72,10,ELLIOT,MOSES,PIERS,CURTIS,71,757,1,NA,NA,4.20144730000175,0.832911700003024,1,0,2,0.81235430000379,2
118,1,1,1,8,6,1,4,"NAOMI",766,16,DIONNE,LEONA,RACHAEL,KAYLA,721,48,1,NA,NA,3.94843370000308,1.73768980000023,1,1,1,0.671111699994071,1
119,1,1,1,8,7,1,8,SORCHA,34,7,LEILA,SABAH,TRACY,FAIZA,34,42,0,0,1,5.22972469999513,1.6189916000003,1,0,1,0.27253429999837,1
120,1,1,1,8,8,1,2,SABAH,75,8,YASMIN,LEILA,ANDREA,EVELYN,74,80,0,0,1,5.74577950000094,1.66005580000638,3,0,1,0.381506100005936,1
121,1,1,1,8,9,1,2,LEONA,57,13,"NAOMI",YASMIN,SACHA,DEANNA,57,202,0,0,1,5.49622359999921,1.62792520000221,1,2,1,0.834247300001152,1
122,1,1,1,8,10,1,5,PHILIP,481,14,ARNOLD,ELLIOT,ISAAC,JULIEN,480,14,1,NA,NA,4.47202120000293,0.959438300000329,2,1,2,0.986156100007065,2
123,1,1,1,8,11,1,1,LORCAN,17,11,MOSES,DANNY,MARVIN,GARRY,17,29,1,NA,NA,3.13869639999757,0.724540399998659,2,0,3,0.714540900000429,3
124,1,1,1,8,12,1,6,MIRANDA,113,1,SORCHA,"NAOMI",TEGAN,DONNA,112,69,1,NA,NA,2.80936400000064,0.917585499999404,0,1,2,0.974402800005919,2
125,1,1,1,8,13,1,4,LEILA,83,5,ALANIS,SORCHA,SHIVANI,MEGAN,83,4948,1,NA,NA,3.18602929999906,0.036951299996872,0,0,2,1.63761340000201,2
126,1,1,1,8,14,1,1,DANNY,565,12,ARJUN,ARNOLD,COREY,BILLY,527,914,0,1,0,4.86076069999399,1.42075360000308,2,0,1,0.447750599996652,1
127,1,1,1,8,15,1,7,MOSES,29,4,LORCAN,ARJUN,BUSTER,PIERS,33,71,1,NA,NA,6.04961679999542,2.38375230000383,4,1,2,0.694305099998019,2
128,1,1,1,8,16,1,8,ALANIS,31,3,MIRANDA,DIONNE,BRIANNA,PHOEBE,31,910,0,1,0,5.14739499999996,2.12904290000006,2,0,1,0.665594600002805,1
129,1,1,1,9,1,1,4,PAIGE,2052,2,ELISHA,LACEY,MOLLY,FLORA,2026,101,1,NA,NA,2.81191989999934,0.0611601999989944,0,0,1,0.354025400003593,1
130,1,1,1,9,2,1,5,WILLIAM,4269,10,DAFYDD,ANDRE,MICHAEL,AKASH,4187,57,1,NA,NA,4.18670949999796,0.735020099993562,3,0,3,0.531260499999917,3
131,1,1,1,9,3,1,1,LESLIE,31,12,HASAN,PERRY,NIGEL,GERAINT,31,46,0,1,0,2.99371390000306,0.042673999996623,0,0,1,0.343875499995193,1
132,1,1,1,9,4,1,6,"NATALIE",1393,6,PAIGE,SEREN,JODIE,EMILY,1354,6415,0,0,1,3.06337349999376,0.426181900002121,0,1,1,0.427662499998405,1
133,1,1,1,9,5,1,7,DONOVAN,24,5,WILLIAM,DAFYDD,EAMON,KENNY,24,33,1,NA,NA,3.22918149999896,0.779143200001272,2,0,3,1.21463089999452,3
134,1,1,1,9,6,1,1,CHASE,17,15,DONOVAN,LESLIE,CHRIS,FELIX,17,149,0,1,0,6.46069249999709,3.03506570000172,2,0,1,0.291174799996952,1
135,1,1,1,9,7,1,4,SEREN,46,3,CARLA,PAIGE,SHARON,HARRIET,46,1046,1,NA,NA,1.9499438999992,0.441670300002443,0,1,4,1.05771200000163,4
136,1,1,1,9,8,1,6,ELISHA,240,4,SEREN,CARLA,SIMRAN,KATHRYN,240,635,1,NA,NA,6.07174490000034,4.30459749999864,4,1,1,0.291167299998051,1
137,1,1,1,9,9,1,7,HASAN,123,14,EMILIO,CHASE,FERGUS,KEVIN,120,250,0,1,0,3.91774810000061,1.05371349999768,2,1,1,0.560247100002016,1
138,1,1,1,9,10,1,1,ANDRE,167,11,LESLIE,WILLIAM,JESSE,MILES,161,223,1,NA,NA,2.17408199999772,0.392897799996717,1,0,4,1.28374379999877,4
139,1,1,1,9,11,1,2,CARLA,230,1,"NATALIE",BRYONY,KIRSTEN,AOIFE,225,71,0,1,0,5.04740950000269,3.49577999999747,3,1,1,0.401222899999993,1
140,1,1,1,9,12,1,2,BRYONY,362,9,LACEY,ELISHA,ELOISE,HAFSA,351,72,1,NA,NA,4.44141759999911,0.820282500004396,1,2,3,1.46982139999454,3
141,1,1,1,9,13,1,7,PERRY,139,16,CHASE,HASAN,DAMON,LEROY,136,17,1,NA,NA,3.77357510000002,0.754450999993423,3,0,3,0.738012100002379,3
142,1,1,1,9,14,1,8,LACEY,85,7,BRYONY,"NATALIE",SHELLEY,ROSIE,84,879,1,NA,NA,3.29887069999677,0.98631110000133,0,1,2,0.530757400003495,2
143,1,1,1,9,15,1,7,DAFYDD,84,13,PERRY,EMILIO,ROBSON,RICKY,84,242,1,NA,NA,1.95897200000036,0.0341623999993317,0,0,3,1.6680223000003,3
144,1,1,1,9,16,1,3,EMILIO,25,8,ANDRE,DONOVAN,FREDDY,JUNAID,25,114,1,NA,NA,2.86043119999522,0.85496840000269,3,0,2,0.676937999996881,2
145,1,1,1,10,1,1,1,KEATON,41,3,HYWEL,JAMIE,ZAYNE,CARLOS,41,37,1,NA,NA,5.20912200000021,0.86959790000401,1,0,1,0.26960169999802,1
146,1,1,1,10,2,1,8,AIMEE,876,2,SAFIA,SHANNEN,DAISY,TEGAN,828,112,1,NA,NA,4.32740509999712,1.3907990000007,2,0,3,0.740057700000762,3
147,1,1,1,10,3,1,5,HYWEL,28,4,QASIM,NELSON,AKEEM,BRADLEY,27,2557,0,0,1,4.46096680000483,1.24526889999834,1,0,1,0.476230899999791,1
